C4	261.63	131.87
 C#4/Db4 	277.18	124.47
D4	293.66	117.48
 D#4/Eb4 	311.13	110.89
E4	329.63	104.66
F4	349.23	98.79
 F#4/Gb4 	369.99	93.24
G4	392.00	88.01
 G#4/Ab4 	415.30	83.07
A4	440.00	78.41
 A#4/Bb4 	466.16	74.01
B4	493.88	69.85
C5	523.25	65.93
 C#5/Db5 	554.37	62.23
D5	587.33	58.74
 D#5/Eb5 	622.25	55.44
E5	659.25	52.33
F5	698.46	49.39
 F#5/Gb5 	739.99	46.62
G5	783.99	44.01
 G#5/Ab5 	830.61	41.54
A5	880.00	39.20
 A#5/Bb5 	932.33	37.00
B5	987.77	34.93
C6	1046.50	32.97
 C#6/Db6 	1108.73	31.12
D6	1174.66	29.37
 D#6/Eb6 	1244.51	27.72
E6	1318.51	26.17
F6	1396.91	24.70
 F#6/Gb6 	1479.98	23.31
G6	1567.98	22.00
 G#6/Ab6 	1661.22	20.77
A6	1760.00	19.60
 A#6/Bb6 	1864.66	18.50
B6	1975.53	17.46
C7	2093.00	16.48
 C#7/Db7 	2217.46	15.56
D7	2349.32	14.69
